"_media_all_received","_bamboo_dataset_id","_xform_id_string","availability_selection/available","meta/instanceID","_duration","extra_info","_edited","_status","encouraging_scale_selection/encouraging_scale","dateTime_selection/timestamp","meta/deprecatedID","phone_num","address_selection/determinable","coding_option_selection/coding_option","_uuid","_submitted_by","address_selection/property","_media_count","formhub/uuid","_last_edited","income_selection/income","_total_media","_xform_id","_submission_time","_version","people_name_selection/person_name","time_zone_selection/time_zone_option","_id","coder_option","address_selection/more_info","screening_selection/screening_terms"
TRUE,"","Aubrey_Murphy","yes","uuid:a8287dee-51fa-412c-b28f-006390d5f5e8","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-22T16:20:00.000-05:00","uuid:58a292eb-0276-4e07-8dda-7dd97911db21","1149","yes","voicemail","a8287dee-51fa-412c-b28f-006390d5f5e8",NA,"3827 Minerva Avenue",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:42:49.513389+00:00","no",0,313167,"2018-05-31T01:18:33","201805211839","Aubrey Murphy","CST",30112929,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:142cbc8f-97c1-4bbe-ab48-b45ca32d12eb","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-22T17:05:00.000-05:00","uuid:b47eb553-fc73-448b-8d24-79d9f17c6c55","1149","yes","voicemail","142cbc8f-97c1-4bbe-ab48-b45ca32d12eb",NA,"8857 South Gramercy Place",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:43:16.249332+00:00","no",0,313167,"2018-05-31T01:20:23","201805211839","Aubrey Murphy","CST",30112944,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:b44d0808-3a3e-45c5-8f6d-5d3c69b9bd8c","","Mentioned other buys who were very serious.",TRUE,"submitted_via_web","Discouraging","2018-05-22T19:20:00.000-05:00","uuid:19bf74c4-feec-458c-9201-616e7df18f4c","1149","yes","voicemail","b44d0808-3a3e-45c5-8f6d-5d3c69b9bd8c",NA,"1717 Walgrove Avenue",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:43:39.101708+00:00","no",0,313167,"2018-05-31T01:22:00","201805211839","Aubrey Murphy","CST",30112953,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:00dad6d7-4194-4ba2-9193-a0a117782da1","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-21T15:48:00.000-05:00","uuid:2673b7bb-947a-4df9-93dc-8dd11cfe0b02","1149","yes","voicemail","00dad6d7-4194-4ba2-9193-a0a117782da1",NA,"2472 Panorama Terrace",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:44:39.262624+00:00","no",0,313167,"2018-05-31T01:22:54","201805211839","Aubrey Murphy","CST",30112955,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:a7e882e2-0b1f-47b8-ac9c-ed4009dc9d90","","n/a",TRUE,"submitted_via_web","Encouraging","2018-05-23T11:36:00.000-05:00","uuid:22b772fb-f854-42a8-a28a-de8536b5374a","1149","yes","voicemail","a7e882e2-0b1f-47b8-ac9c-ed4009dc9d90",NA,"3400 London Street #3400",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:44:56.273917+00:00","no",0,313167,"2018-05-31T01:23:41","201805211839","Aubrey Murphy","CST",30112956,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:9daed63d-22d7-4ce5-868f-df148159c8d7","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-23T13:33:00.000-05:00","uuid:33b8cacc-1278-4eeb-b68b-1e443cad2308","1149","yes","text","9daed63d-22d7-4ce5-868f-df148159c8d7",NA,"11162 Exposition Boulevard #101",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:45:24.770510+00:00","no",0,313167,"2018-05-31T01:32:34","201805211839","Aubrey Murphy","CST",30113015,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:379950ab-d986-4a7a-82b5-735e8d280293","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-23T17:15:00.000-05:00","uuid:bc14bc18-067b-4a66-9bc0-561a2b175344","1149","yes","voicemail","379950ab-d986-4a7a-82b5-735e8d280293",NA,"3108 Nichols Canyon Road",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:45:38.955459+00:00","no",0,313167,"2018-05-31T01:33:38","201805211839","Aubrey Murphy","CST",30113029,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:d7ce48e5-67b2-4a2d-bb4b-f37605c097f9","","n/a",TRUE,"submitted_via_web","Neutral","2018-05-29T17:24:00.000-05:00","uuid:ba9c79de-b118-407f-b0b3-e5fa2da752ac","1149","yes","voicemail","d7ce48e5-67b2-4a2d-bb4b-f37605c097f9",NA,"2704 South Rimpau Boulevard",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:45:58.015486+00:00","no",0,313167,"2018-05-31T01:34:53","201805211839","Aubrey Murphy","CST",30113040,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:98bf148c-1111-4df1-aebe-24b832638ad9","","n/a",TRUE,"submitted_via_web","Encouraging","2018-05-24T13:22:00.000-05:00","uuid:8de8bed7-e321-4702-a79b-75c450b5b3ee","1149","yes","voicemail","98bf148c-1111-4df1-aebe-24b832638ad9",NA,"2704 South Rimpau Boulevard",0,"473befd8663346a586a84e49bff6d787","2018-05-31T14:46:23.187705+00:00","no",0,313167,"2018-05-31T01:35:43","201805211839","Aubrey Murphy","CST",30113042,"Christian",NA,NA
TRUE,"","Aubrey_Murphy","yes","uuid:d972371d-87ba-4e42-9909-39f12b20ca44","","n/a",FALSE,"submitted_via_web","Neutral","2018-05-24T15:45:00.000-05:00",NA,"1149","no","email","d972371d-87ba-4e42-9909-39f12b20ca44",NA,NA,0,"473befd8663346a586a84e49bff6d787",NA,"no",0,313167,"2018-05-31T02:28:43","201805211839","Aubrey Murphy","CST",30113296,"Christian","Sola Rentals",NA
